index	job_link	job_title	job_company	job_industry	job_update	job_location	job_exp	job_edu	job_brief	job_applicants	job_tags_salary	job_tags_tse_otc	job_tags_fc	job_tags_emp	job_tags_remote	job_tags_metro
1	//www.104.com.tw/job/76ovg?jobsource=jolist_a_relevance	【產品團隊】資料分析工程師 Data Engineer_台北	昕力資訊股份有限公司	電腦軟體服務業	4/10	台北市內湖區	2年以上	專科	API 服務管理平台digiRunner、一站式Logs管理平台digiLogs以及專為社群版MongoDB而生的管理介面DigiMars，在現在這個數位轉型的大時代中，為了提供更專業的服務及產品，我們需要優秀的Data夥伴加入我們的產品團隊。【	0~5人應徵	待遇面議			員工550人		
2	//www.104.com.tw/job/798wd?jobsource=jolist_a_relevance	數據工程師 Data Engineer	聚典資訊股份有限公司	電腦軟體服務業	4/07	台北市南港區	經歷不拘	大學	【Duties and Responsibilities】1. Develop ETL pipeline for data collection, cleansing, processing, storage, and analytics.	11~30人應徵	月薪45,000~100,000元			員工15人		距捷運南港展覽館站約430公尺
3	//www.104.com.tw/job/6gj80?jobsource=jolist_a_relevance	資料工程師 Data Engineer	英屬開曼群島商萬里雲互聯股份有限公司台灣分公司	電腦軟體服務業	4/07	台北市信義區	2年以上	專科	CloudMile是一支年輕的創業團隊，與帶領市場的供應商一起，利用一流的人工智能、雲端和安全技術，協助客戶解決最關鍵的問題。我們也是亞洲領先的企業級人工智能，雲和安全解決方案提供商，並且為第一個獲得北亞基礎設施和機器學習專業知識的Google首要合作夥伴。作為“ CloudMiler”，我們堅信敏捷、當責以及精進的價值觀，在這裡，我們和一群優秀的人才一起工作，也和公司一起快速成長。工作內容：1. 與機器學習工程師、雲端架構師、PM密切合作, 提供客戶高質量的雲端數據相關服務。 2. 負責協助客戶整合、設計、部署大數據處理流程與平臺。必備技能/條件：- 3 年以上公有雲資料排程、處理、清洗、分析的實務經驗。- 2 年以上資料處理常用的 Open Source 工具的實務經驗，eg. Spark, Airflow, hadoop- 2 年以上Python / Java or Golang軟體開發相關工作經驗- 擅長解決問題、除錯、故障排除，提出問題解決方案。加分條件- 具備BigQuery、RDBMS、NoSQL使用經驗- 具備爬蟲相關經驗- 熟悉 Restful API- 具備Git 版控使用經驗- 具備基本英文溝通能力	6~10人應徵	待遇面議			員工200人		距捷運台北101/世貿站約220公尺
4	//www.104.com.tw/job/7fjnm?jobsource=jolist_a_relevance	資料工程師 Data Engineer	烏龜移動科技股份有限公司	廣告行銷公關業	4/10	台北市松山區	經歷不拘	專科	蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這	0~5人應徵	待遇面議			員工35人		距捷運中山國中站約330公尺
5	//www.104.com.tw/job/7xlto?jobsource=jolist_a_relevance	資料工程師(Data Engineer)	台灣賀思達科技有限公司	電腦軟體服務業	4/13	台北市松山區	3年以上	專科	Financial Sector Development Fund administered by the MAS. Job SummaryWe are looking for a Data Engineer to join our	11~30人應徵	年薪700,000~1,000,000元			員工42人	遠端工作	距捷運南京復興站約260公尺
6	//www.104.com.tw/job/7uz7d?jobsource=jolist_a_relevance	C9903 資料工程師 Data Engineer	恆隆行貿易股份有限公司	其他零售業	4/11	台北市內湖區	3年以上	大學	【加分條件】•熟悉大數據框架 Hadoop、Spark、Dataproc•熟悉 DevOps、MLOps、CICD、Docker•熟悉爬蟲技術、API•熟悉 Data Modeling 相關的知識•熟悉指標與維度的設計	0~5人應徵	待遇面議			員工500人		距捷運港墘站約380公尺
7	//www.104.com.tw/job/73jxa?jobsource=jolist_a_relevance	RD-數據工程師 Data Engineer	順立智慧股份有限公司	其它軟體及網路相關業	4/13	台北市內湖區	1年以上	大學	的資料設計自動化的分析與決策方案，以幫助店家經營不同來源與特性的客群，並超越預期的成長目標。CYBERBIZ 的 Data Team 正在尋找能夠協助打造這些方案的人才。我們了解要達成上述目標會需要整合許多不同類型的技術。對電商領域有興趣的你不	0~5人應徵	待遇面議			員工200人		距捷運西湖站約340公尺
8	//www.104.com.tw/job/5o7vg?jobsource=jolist_a_relevance	數據工程師 / Data Engineer (Web Crawling)	大數據股份有限公司	其它軟體及網路相關業	4/10	台北市中山區	經歷不拘	大學	本公司為專業社群資料分析廠商，主要產品線有：*網路社群分析大數據平台《KEYPO大數據關鍵引擎》，透過深度學習在巨量社群資料中洞察網路口碑。*粉專分析大數據平台《FANSDO粉絲行為追蹤器》，透過大數據剖析粉絲行為、粉專經營績效與最佳互動時機。*意見領袖大數據搜尋平台《Keyders 網路意見領袖搜尋引擎》，透過社群數據，以AI精準媒合，搜尋出最能協助品牌效益的意見領袖。本職務熟悉資料擷取和解析技術，從結構化和非結構化的資料中提取資訊：【工作內容】- 參與爬蟲架構設計，提升抓取的效率和品質- 維護爬蟲可靠度與可用率　- 設計/優化爬蟲資料整合機制　　- 參與ETL設計與實作【必要技能】- 熟悉Python語法- 充分了解HTML結構，能解析網頁交換資料的順序步驟　- 熟悉Git- 熟悉Linux, Docker- 熟悉一套網路爬蟲套件與框架(如Scrapy、Puppeteer或Selenium)- 喜愛研究、討論、分享與學習新技術、有獨立survey與實作能力　【加分條件】 - 具有自動化測試經驗- 在生產環境中使用CI/CD- 熟悉容器調度工具如Docker Swarm - 有能力估算爬蟲效率並提出優化見解　- 具有Agile / Scrum開發經驗　- 有程式重構、大型專案架構設計之經驗	11~30人應徵	待遇面議			員工70人		
9	//www.104.com.tw/job/7oiof?jobsource=jolist_a_relevance	資料工程師 Data Engineer	騰創數析股份有限公司	工商顧問服務業	4/09	台北市中山區	1年以上	大學	通、物流、航運、電信、能源、犯罪、災防等多元範疇，並持續向新領域擴張，能不斷提供全新的學習挑戰與成長機會。✅ 工作簡介- 作為 Data Team 的一員，你會與資料科學家、深度學習/機器學習演算法工程師、BI 資料分析師、以及其他部門包含	11~30人應徵	待遇面議			員工30人		距捷運松江南京站約110公尺
10	//www.104.com.tw/job/7xpmn?jobsource=jolist_a_relevance	Data Engineer 數據工程師（派駐外商）	博彥科技有限公司	電腦軟體服務業	4/07	台北市內湖區	2年以上	大學	Job Duties & responsibilities: -  Experience with Data Engineering or Big Data Technologies, or Data Transformation, and	11~30人應徵	待遇面議			員工10000人		
